,Job title,Job link,city,Seniority level,Employment type,Job function,Industries
28,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-grammarly-3384155765?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=qzsMocDQyDfJOupNK5J%2BTQ%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,"New York, United States",NA,NA,NA,NA
29,Neuroscience Research Data Analyst,https://www.linkedin.com/jobs/view/neuroscience-research-data-analyst-at-lee-lab-at-stanford-3398263012?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=OGU38g2388G3nDeIxrZMDw%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,"Stanford, CA",Not Applicable,Full-time,Analyst,"Technology, Information and Internet"
30,Data Science Associate (Remote),https://www.linkedin.com/jobs/view/data-science-associate-remote-at-pulsedata-3398170620?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=d4ozfMtlctu6VI9YwJQd2Q%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card,"New York, NY",Entry level,Full-time,Information Technology,IT Services and IT Consulting
31,Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-parsley-health-3385039452?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=UV%2Bu4MFR4v7XiIF8kM8eBQ%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,"New York, United States",Entry level,Full-time,Information Technology,Wellness and Fitness Services
32,Clinical Data Analyst,https://www.linkedin.com/jobs/view/clinical-data-analyst-at-emblemhealth-3393589083?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=vtfKPXUiWljcQsIALG%2FL8A%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card,United States,Mid-Senior level,Full-time,"Information Technology, Analyst, and Finance",Insurance and Wellness and Fitness Services
33,Data Science Intern,https://www.linkedin.com/jobs/view/data-science-intern-at-atmosfy-3387423072?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=qNSqIDZvupmVSWy8Y4yuow%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card,United States,NA,Internship,NA,NA
34,Data Science Intern,https://www.linkedin.com/jobs/view/data-science-intern-at-cadent-3396910585?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=zGKufvh9WakOcyySR15LDQ%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card,"Philadelphia, PA",Internship,Internship,Engineering and Information Technology,Advertising Services
35,Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-patientiq-3393341842?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=ufkhnT8rRiUvzUP0a4rHKg%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card,"Chicago, IL",Not Applicable,Full-time,Engineering,"Technology, Information and Internet"
36,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-algo-capital-group-3385927952?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=JaFMHIVnZDksgoNAEFJlzA%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card,"Chicago, IL",Mid-Senior level,Full-time,"Information Technology, Finance, and Engineering","IT Services and IT Consulting, Capital Markets, and Financial Services"
37,Data Scientist Internship - OR (US),https://www.linkedin.com/jobs/view/data-scientist-internship-or-us-at-asurion-3387838772?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=VYmNC32jWK6eJ06vs0meZQ%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card,"Nashville, TN",Not Applicable,Full-time,Other,Insurance
38,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-top-prospect-group-3394930892?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=KpGDAmhZz8pegfb2tknB0Q%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card,"New York, NY",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting and Hospitals and Health Care
39,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-focuskpi-inc-3400933369?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=LRhkW6Gr7q58BRHaa1b3mQ%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card,"San Francisco, CA",Entry level,Contract,Engineering and Information Technology,IT Services and IT Consulting
